,Title,Published_date,Views,Likes,Month
0,VADA PAV AUR CHAI 😍 | CARRYMINATI,2024-07-17,4644429,48237857,Jul
1,New roast video coming out soon!                  #carryminati #roast #comedy,2024-07-16,1201664,22914670,Jul
2,CARRYMINATI VS SIGMA MALE,2024-05-16,3179877,33211952,May
3,New Roast Video Coming Out Soon!                 #carryminati #shorts #sigmamale,2024-05-14,392945,4595838,May
4,DADDY DAUGHTER LOVE STORY  | CARRYMINATI,2024-03-16,2745061,24079759,Mar
5,New Roast Video releasing on 16th March at 12:30 pm.          #carryminati #carryminatiroast,2024-03-14,662785,9488165,Mar
6,RARE INDIAN STREET FOOD....YUMMYY🤤| CARRYMINATI,2023-12-24,4173576,46905012,Dec
7,Saal ki akhri video street food ke naam🤤 #carryminati #shorts #streetfood #comedy,2023-12-22,346134,5410957,Dec
8,MOTIVATIONAL SPEAKER PARODY | CARRYMINATI,2023-11-23,3510874,47685310,Nov
9,kya aap nyi parody ke liye taiyaar hai?💀 #lifechangingparody,2023-11-21,997905,15970722,Nov
10,BIGG BOSS OR YOUTUBE? The Final Verdict | CARRYMINATI Q&A 2023,2023-09-16,3100164,24167423,Sep
11,JALWA - CARRYMINATI X WILY FRENZY,2023-08-11,1895512,15815555,Aug
12,"JALWA releasing on Friday, 11th August 2023. #carryminati",2023-08-09,413793,5016276,Aug
13,DAILY VLOGGERS PARODY 😘 | CARRYMINATI,2023-07-15,5324430,76816999,Jul
14,"Toh guys, naya vlog aane vaala hai taiyaar rehna 💀 #vlogparody #carryminati",2023-07-13,2323319,54228476,Jul
15,MC SALMAN FT BIGG BOSS - CARRYMINATI,2023-05-30,4575307,49176630,May
16,CARRYMINATI ROAST BIGG BOSS #shorts #carryminati #biggboss,2023-05-27,929450,12897348,May
17,MAGGIE KHAO BODY BANAO | CARRYMINATI,2023-02-04,4179660,40618490,Feb
18,CARRYMINATI ROAST TARUN GILL - VIDEO COMING SOON.            #shorts #carryminati,2023-02-02,666866,9941635,Feb
19,PAKISTANI GHOST HUNTERS,2022-10-19,3859260,32831263,Oct
20,LADKIYON KA BEST FRIEND,2022-08-11,5452229,44843005,Aug
21,INDIAN FOOD MAGIC | CARRYMINATI,2022-04-21,5897918,48714855,Apr
22,GETTING MARRIED? QNA 2022 | CARRYMINATI,2022-02-16,2811961,22437787,Feb
23,THARA BHAiiiii | CARRYMINATI,2022-01-19,7130453,69775455,Jan
24,METUBE SPACE | CARRYMINATI,2021-12-03,2530414,20798358,Dec
25,CANCEL CULTURE ORGANIZATION | CARRYMINATI,2021-09-05,2179154,23242927,Sep
26,SOCIAL MEDIA CULTURE | CARRYMINATI,2021-09-05,2848364,22864443,Sep
27,THE LAND OF BIGG BOSS | CARRYMINATI,2021-05-23,4749645,56496952,May
28,VARDAAN - CARRYMINATI X Wily Frenzy,2021-01-17,6953738,82715095,Jan
29,MASSAGE PARADISE,2020-11-20,5209972,41503537,Nov
30,IDLES OF INDIA: GONE RIGHT,2020-09-04,5694874,50275530,Sep
31,THE ART OF BAD WORDS,2020-07-10,6287205,48852729,Jul
32,YALGAAR - CARRYMINATI X Wily Frenzy,2020-06-05,18779504,372188321,Jun
33,YALGAAR....COMING SOON,2020-05-24,4921014,39160619,May
34,STOP MAKING ASSUMPTIONS | YOUTUBE VS TIK TOK: THE END,2020-05-17,9166975,80053043,May
35,WARRIOR - CARRYMINATI X Wily Frenzy,2020-04-24,1389727,16461685,Apr
36,FILM THE FLARE,2020-04-10,4049817,58897566,Apr
37,ARE YOU A VIRGIN? QNA 2020 | CARRYMINATI,2020-03-07,2696763,29984524,Mar
38,BIG BOSS BIG BOSS BIG BOSS PART 2 | CARRYMINATI,2020-02-12,5656553,78687884,Feb
39,Zindagi - CARRYMINATI X Wily Frenzy,2020-01-17,2687784,35463920,Jan
40,LADKA LADKI AUR WOH | CARRYMINATI,2019-12-28,3287943,35153201,Dec
41,NOT A DARING SHOW FT. WAKAR ZAQA  | CARRYMINATI,2019-11-24,4296938,49604403,Nov
42,TALENTED PEOPLE OF VIGO | CARRYMINATI,2019-10-14,3426491,42918216,Oct
43,CUTE GIRLS PRANK | CARRYMINATI,2019-09-12,3974354,47108381,Sep
44,WILDEST PARTIES OF INDIA | CARRYMINATI,2019-08-13,2864855,40202316,Aug
45,I JUMPED OFF A PLANE | CARRYMINATI QnA 2019,2019-07-13,1212490,14487081,Jul
46,TIKTOK EVOLUTION 2019 | CARRYMINATI,2019-07-05,5954489,77977743,Jul
47,SCHOOL TRIP OF THE YEAR,2019-05-29,1565911,21061156,May
48,TRIGGERR - CARRYMINATI X Wily Frenzy,2019-04-20,1726277,25774007,Apr
49,NO MORE SINGLE: VALENTINE SPECIAL FEAT ROCKY,2019-02-11,4604256,76823394,Feb
50,MY REAL AGE | QNA 2019,2019-01-15,1324220,13556840,Jan
51,Bye Pewdiepie | Carryminati,2019-01-01,3669608,62513612,Jan
52,WEDDING OF THE YEAR (I'M INVITED!),2018-12-05,3588058,51976720,Dec
53,BIG BOSS BIG BOSS BIG BOSS PART 1,2018-11-06,2883179,42026937,Nov
54,PUBG INDIA: REAL LIFE BATTLE ROYALE,2018-09-11,2624889,42708521,Sep
55,INDIAN KID MEETS TOM CRUISE,2018-08-04,2711716,33168228,Aug
56,HOW TO GET MODERN LOVE,2018-06-14,2035953,25592166,Jun
57,THE PERFECT BRIDE,2018-05-10,2390808,30953660,May
58,QnA 2018,2018-04-29,892348,9227420,Apr
59,ADS KA BADSHAAH,2018-04-17,1266846,20654681,Apr
60,SANGEET BHOJPURI,2018-03-16,1774061,26260270,Mar
61,SOUTH INDIAN ACTION,2018-02-13,2007512,23610818,Feb
62,Success Story Of A Cringe Pop Artist,2018-01-26,3161166,49616135,Jan
63,HUMANS EVOLVED TOO FAR,2017-12-27,830097,9824326,Dec
64,THE MOST FEARED TRIBE,2017-12-16,795448,11728803,Dec
65,THE ALMIGHTY STRANGER,2017-12-02,1211759,16893227,Dec
66,THE TIME WE TRANSFORM,2017-11-16,787928,10861483,Nov
67,ANSWERING SOME THINGS (QnA),2017-11-03,987053,12893773,Nov
68,WHEN A MERMAID HITS PUBERTY,2017-10-29,1171703,14996627,Oct
69,THESE SUPERSTITIONS WILL MAKE YOU RICH,2017-10-21,1102542,13283265,Oct
70,TIME TO PUT A FULL STOP,2017-10-08,801644,12293058,Oct
71,A NEW BREED IS BORN,2017-09-25,1730623,23036823,Sep
72,MSG: A NATURAL DISASTER,2017-09-13,2103066,35469039,Sep
73,DISCOVERY OF A NEW CREATURE,2017-08-31,2995148,51442312,Aug
74,RETURN OF RAPPERS,2017-08-20,1352970,20222576,Aug
75,ILLUMINATI THE TRUTH,2017-08-13,1246068,15432940,Aug
76,YES THIS IS WEIRD,2017-07-22,983002,11031114,Jul
77,BEST REALITY SHOW IN THE WORLD,2017-07-09,2423134,30841366,Jul
78,THE TIME HAS COME (QnA),2017-06-24,1175406,14068034,Jun
79,PEER PRESSURE,2017-06-16,490018,6648073,Jun
80,CAN THIS BE A THING?,2017-06-08,404793,5196299,Jun
81,MEET THE LEGEND OF THIS CENTURY,2017-05-05,1667309,23390354,May
82,SCHOOL HOLIDAYS,2017-04-25,652251,9062695,Apr
83,MY ROOM TOUR 2017,2017-04-15,665632,6847862,Apr
84,"""HOT"" GIRL OFFERS MILK",2017-04-08,1894882,31188798,Apr
85,THE ORIGIN OF SPIKES,2017-04-01,350230,5742275,Apr
86,BAAHUBALI PARODY PARODY,2017-03-22,444494,7205566,Mar
87,BAD WORDS,2017-03-17,864690,17448264,Mar
88,YOU ASKED FOR THIS,2017-03-09,1033173,11691400,Mar
89,E.X.A.M.S,2017-02-22,1000085,14662383,Feb
90,THIS IS YOUR VALENTINE,2017-02-14,605439,10619814,Feb
91,BEST THING ON THIS PLANET,2017-02-09,589735,8199982,Feb
92,MARRY YOUR DREAM PARTNER,2017-02-02,549821,9262248,Feb
93,"""HAREE OM"" THIS IS ENOUGH PLEASE STOP",2017-01-26,1615038,22430629,Jan
94,"""DAARU DAARU DAARU"" SHE IS BACK",2017-01-17,1466208,29817278,Jan
95,RAP STAR ON PEAK,2017-01-12,1091520,15761038,Jan
96,EK AURAT,2017-01-08,392195,2734939,Jan
97,WORST START OF THE YEAR,2017-01-06,675045,9054315,Jan
98,1 BILLION DIRHAM SETUP TOUR,2017-01-03,969434,13182419,Jan
99,THE END OF SOMETHING BEAUTIFUL,2016-12-28,580667,8031019,Dec
100,INDIAN CHRISTMAS RANT,2016-12-25,353490,4308150,Dec
101,HOMELESS SEXIST GHOST,2016-12-21,582863,9161898,Dec
102,THE MEANING OF LIFE,2016-12-17,165965,2859455,Dec
103,BEST DADDY FOR YOUR DAUGHTER,2016-12-11,503079,7966188,Dec
104,THE CLOSEST HUMAN TO GOD,2016-12-04,940109,19803386,Dec
105,YOUTUBE TRENDING PAGE,2016-11-30,877124,9880273,Nov
106,THE AWESOME PLACE WE CALL SCHOOL,2016-11-26,692571,9747677,Nov
107,THE DARK ADULT SIDE OF YOUTHOOB,2016-11-23,470788,9315711,Nov
108,"""SONAM GUPTA BEWAFA HAI"" PLEASE STOP WORST TREND 2016",2016-11-17,595085,9681739,Nov
109,EVERYBODY WANTS KATRINA CAT,2016-11-13,611243,9825232,Nov
110,BLACK AND WHITE (NEW INDIAN POLICY),2016-11-09,399271,4914919,Nov
111,MUSIC INDUSTRY ON PEAK,2016-11-08,472194,7346463,Nov
112,ADULT NOT SO HORROR MOVIE,2016-11-05,405875,5564914,Nov
113,GOLD DIGGER PRANKS - THE MONEY MAKING MACHINE OF YOUTUBE,2016-10-28,650446,9294158,Oct
114,ANOTHER SHITTY FACECAM VIDEO,2016-10-22,585518,5229303,Oct
115,PPAP Pen Pineapple Apple Pen PLEASE STOP,2016-10-15,614896,9010307,Oct
116,INDIANS FINDING LOVE PARTNER,2016-10-07,461894,9815706,Oct
117,NON VEG JOKES FOR KIDS,2016-09-30,679078,14979280,Sep
118,MICHEAL JACKSON HAS A NEW LIFE,2016-09-27,439588,8622442,Sep
119,MUMMY DADDY PRANK,2016-09-22,904959,10997485,Sep
120,SUPERNATURAL SWAG,2016-09-18,390461,5590833,Sep
121,EMBRACING THE HATE (FACECAM),2016-09-12,2166208,22950583,Sep
122,I DID SOMETHING BAD,2016-09-11,307581,4092741,Sep
123,FIGHTING YOUR OWN SWAG,2016-09-10,868250,15195460,Sep
124,INDIAN WOMEN GETTING HIGH,2016-09-06,92131,1144827,Sep
125,THIS IS NOT A DARING SHOW,2016-08-30,658718,10420697,Aug
126,AESTHETIC SHAKTIMAAN,2016-08-27,422728,7297024,Aug
127,HOW MUCH MONEY DO I MAKE ? QNA (FACECAM),2016-08-23,665491,8713712,Aug
128,LET THE FUN BEGIN,2016-08-21,247976,3932574,Aug
129,THIS IS SEXUALLY WEIRD,2016-08-15,883643,13082039,Aug
130,50 LAYERS OF CHEESE,2016-08-14,268875,4340131,Aug
131,THE RETURN,2016-08-12,563769,7380094,Aug
132,Roast Of NAZAR BATTU,2016-08-07,444649,6384423,Aug
133,GETTING FAMOUS WITH BB KI VINES,2016-08-03,1599312,25670629,Aug
134,PROPOSING MALE AND WOMEN,2016-07-30,380367,5864649,Jul
135,ROASTING ALL INDIA BAKCHOD,2016-07-29,309083,5719334,Jul
136,THIS IS TOO MUCH,2016-07-25,157302,3085691,Jul
137,POHA IS LOVE POHA IS LIFE,2016-07-21,203886,3429121,Jul
138,GOLD DIGGER (GONE VERY VERY SEXY),2016-07-14,444136,7369479,Jul
139,GIRL WITH SWEG,2016-07-11,442333,7230031,Jul
140,THE PERFECT PARTNER,2016-07-10,300525,6377133,Jul
141,INDIANS WITH FAKE ACCENT,2016-07-07,249334,5164511,Jul
142,BEST PAKISTANI SHOW,2016-07-06,1013550,20663185,Jul
143,HOT BIKINI SEX,2016-07-02,411102,14404111,Jul
144,69 SUBSCRIBERS SPECIAL QnA,2016-06-30,1279599,19974963,Jun
145,THE ART OF SATISFACTION,2016-06-29,208582,4068381,Jun
146,SASTE NASHE OVERDOSE,2016-06-26,251958,4346906,Jun
147,EVERY INDIAN P.E TEACHERS,2016-06-24,346892,5830573,Jun
148,MAKING MONEY WITH BB KI VINES,2016-06-21,773699,13744520,Jun
149,EVERYTHING WRONG WITH INDIAN SCHOOLS,2016-06-17,801188,12370613,Jun
150,INDIA CENSOR BOARD,2016-06-15,293327,4756883,Jun
151,SEXY BLACK MAGIC (GONE SEXUAL),2016-06-09,250327,3576583,Jun
152,5 INDIAN SUPERSTITIONS THAT MAKE NO SENSE !,2016-06-06,355485,3896027,Jun
153,I VERY VERY LOVE YOU,2016-06-03,837267,14854172,Jun
154,HOW TO SURVIVE IN A JUNGLE,2016-05-30,204981,3476074,May
155,I WANT A GIRL,2016-05-26,592379,13185173,May
156,SPANKING  ASS (GONE RIGHT),2016-05-20,234675,3166101,May
157,KISS ANY GIRL YOU WANT,2016-05-18,429933,6733979,May
158,KIDS ARE BEAUTIFUL,2016-05-15,248365,3933128,May
159,LOUD NOISES,2016-05-13,228866,3291262,May
160,FATHER OF NONE RETURNS,2016-05-12,364264,6293836,May
161,SEXY RICH VIDEO,2016-05-09,369441,11809999,May
162,GUJJAR GOES WILD,2016-05-08,218465,4017725,May
163,WONNA BE HONEY SINGH,2016-05-06,248931,4281474,May
164,ANSWERING YOU,2016-05-05,125055,1978401,May
165,GOOD BAD BOY,2016-05-03,295143,5178251,May
166,HAVE SEX WITH ANYONE,2016-04-29,206740,3345860,Apr
167,CANT LIVE LONG,2016-04-27,118554,2028436,Apr
168,CAN I ASK A QUESTION,2016-04-25,293910,4806356,Apr
169,GUJJAR SWEG RAP,2016-04-24,113144,2039666,Apr
170,BEING OSUM,2016-04-22,212141,2979285,Apr
171,GETTING GIRLFREND DEFINITELY WORKOUTS,2016-04-13,243301,3929982,Apr
172,SAVE HUMANITITIES,2016-04-11,109802,1703425,Apr
173,WONNA BE ANGEL,2016-04-10,215014,4205418,Apr
174,SMELL SWAG IN THIS MUSIC VIDEO,2016-04-08,231166,3317393,Apr
175,NEW GEN RAP RETURN OF GUJJAR BOYS,2016-04-06,324839,7176617,Apr
176,AUNTY FETISH RAP,2016-04-03,391203,6905453,Apr
177,ANSWER ME,2016-04-01,211873,3776769,Apr
178,When Indian Sings English Songs,2016-03-30,91904,1731069,Mar
179,Ear Bleeding Prank in India,2016-03-28,61761,859415,Mar
180,Dobby vs Indian Guy (Gone Bollywood),2016-03-26,109885,1543125,Mar
181,Suxy Punjabi Song (Gone Autotune),2016-03-24,244586,4520120,Mar
182,Lets Make Girls Weird Prank,2016-03-22,126958,1855091,Mar
183,Swaggiest RapStar in Mumbai (Gone Sexual),2016-03-18,97394,1796913,Mar
184,This is A QnA Video,2016-03-16,92265,1200524,Mar
185,WWE Extreme Bakchod Style,2016-03-14,248536,3877110,Mar
186,Make your Eyes Bleed,2016-03-12,99795,1681185,Mar
187,How to Propose a Girl Pro Style.,2016-03-10,142051,2042766,Mar
188,Gujjar Boyz Rap Video ( Gone Rappy ),2016-03-07,258787,4822108,Mar
189,Punjabi Rap Battle ( Gone Bakchod ),2016-03-03,304727,5457268,Mar
190,BakChod E-Spidermaan,2016-02-29,200880,3981773,Feb
191,Pakistani Roadies !,2016-02-23,314265,7026316,Feb
192,India's Weirdest Dance Ever on Youtube !,2016-02-20,130642,2081830,Feb
193,India's Adult Film of The Year !,2016-02-17,379930,12355088,Feb
194,KRK India's Best Film ACTOR/PRODUCER/CRITIC !,2016-02-14,400847,6213416,Feb
195,Indians That Torrent,2016-02-09,193345,3306763,Feb
196,INDIA CS:GO,2016-02-06,203504,3830006,Feb
197,COD GHOST RANT in Hindi,2015-06-28,256704,4397363,Jun
